"Sample_Name","Hill0","Hill1","Hill2","Substrate","Frequency","Substrate_Frequency","Replicate","Time","Run"
"5C_A_1",14,3.88881904331362,2.63126653456838,"Cellulose",5,"5C","A",1,"run1"
"5C_A_2",16,3.00391556143669,2.06960754905134,"Cellulose",5,"5C","A",2,"run1"
"5C_A_3",9,2.4640924017728,1.93441519168305,"Cellulose",5,"5C","A",3,"run1"
"5C_A_4",11,2.83432210110061,2.02391467873406,"Cellulose",5,"5C","A",4,"run1"
"5C_A_5",12,3.2447220499039,2.31522461561713,"Cellulose",5,"5C","A",5,"run1"
"5C_A_6",9,1.9581691056776,1.38100421351445,"Cellulose",5,"5C","A",6,"run1"
"5C_A_7",14,5.81748352519285,4.20997874795015,"Cellulose",5,"5C","A",7,"run1"
"5C_B_2",12,3.04481464266866,2.21101288284856,"Cellulose",5,"5C","B",2,"run1"
"5C_B_3",13,3.44912116690895,2.5158005043967,"Cellulose",5,"5C","B",3,"run1"
"5C_B_4",11,2.35440144542012,1.69295580500244,"Cellulose",5,"5C","B",4,"run1"
"5C_B_5",12,3.15610106302756,2.26539614032263,"Cellulose",5,"5C","B",5,"run1"
"5C_B_6",6,2.56981313647413,1.92075037944417,"Cellulose",5,"5C","B",6,"run1"
"5C_B_7",11,5.38747554888684,3.7648608310208,"Cellulose",5,"5C","B",7,"run1"
"5C_C_1",11,3.32177940536478,2.4010722408476,"Cellulose",5,"5C","C",1,"run1"
"5C_C_2",13,3.05605422177715,2.04573911834023,"Cellulose",5,"5C","C",2,"run1"
"5C_C_3",15,3.54902704934442,2.35624139394113,"Cellulose",5,"5C","C",3,"run1"
"5C_C_4",22,6.18664450890997,4.33169611869616,"Cellulose",5,"5C","C",4,"run1"
"5C_C_5",17,5.14799376129203,3.55096749925065,"Cellulose",5,"5C","C",5,"run1"
"5C_C_6",10,2.49120976692419,1.67833354993056,"Cellulose",5,"5C","C",6,"run1"
"5C_C_7",13,7.15133943325975,5.24646872996134,"Cellulose",5,"5C","C",7,"run1"
"5C_D_1",9,2.99504013027179,2.43005637067282,"Cellulose",5,"5C","D",1,"run1"
"5C_D_2",16,3.73357323589896,2.8274714333041,"Cellulose",5,"5C","D",2,"run1"
"5C_D_3",11,3.43863706908676,2.70807552871538,"Cellulose",5,"5C","D",3,"run1"
"5C_D_4",14,2.34433639640218,1.57580056359975,"Cellulose",5,"5C","D",4,"run1"
"5C_D_5",16,3.60354663316601,2.62917967128075,"Cellulose",5,"5C","D",5,"run1"
"5C_D_6",7,2.02727706012111,1.45621869684403,"Cellulose",5,"5C","D",6,"run1"
"5C_D_7",13,5.87347170573656,4.58391245575553,"Cellulose",5,"5C","D",7,"run1"
"5C_E_1",12,3.92428081568092,2.78784350985479,"Cellulose",5,"5C","E",1,"run1"
"5C_E_2",15,2.87073348779993,1.89826807486251,"Cellulose",5,"5C","E",2,"run1"
"5C_E_3",13,3.12373351133175,2.23326586515384,"Cellulose",5,"5C","E",3,"run1"
"5C_E_4",13,2.3990230024474,1.70340582088563,"Cellulose",5,"5C","E",4,"run1"
"5C_E_5",15,4.48528742906365,3.1005018810477,"Cellulose",5,"5C","E",5,"run1"
"5C_E_6",10,2.46396173901397,1.71881764235225,"Cellulose",5,"5C","E",6,"run1"
"5C_E_7",14,5.77962680520962,3.78546068014761,"Cellulose",5,"5C","E",7,"run1"
"5G_A_1",6,1.90269107701726,1.72856953754599,"Glucose",5,"5G","A",1,"run1"
