,Pseudomonas.1,Asticcacaulis,Cellvibrio,Pseudomonas.2,Cohnella,Lacunisphaera,Taibaiella,Achromobacter,Leadbetterella,Bordetella,Shinella,Xylophilus,Methylophilus,Stenotrophomonas,Pleomorphomonas
5C_D_2,0.00811359,0.340973631,0.470182556,0.001217039,0.001419878,0.10020284,0.023935091,0,0.022109533,0,0.011359026,0.003245436,0.001217039,0,0
5C_D_3,0.006729758,0.337539432,0.490431125,0.003575184,0.002313354,0.102839117,0.010515247,0,0.029863302,0,0.007570978,0.003154574,0,0,0
5C_D_4,0.006410256,0.065656566,0.787684538,0.001845377,0.004370629,0.08537296,0.022047397,0,0.016025641,0,0.003108003,0.001748252,0,0,0
5C_D_5,0.004863573,0.130656994,0.549666145,0.001154068,0.003214904,0.237738027,0.020690792,0,0.025389498,0,0.00577034,0.002143269,0,0,0
5C_D_6,0,0.065479975,0.821042594,0.002860776,0,0.054990464,0.041322314,0,0.008582327,0,0,0,0,0,0
5C_D_7,0.01285347,0.305055698,0.179091688,0,0.003427592,0.280205656,0.054413025,0,0.05655527,0,0.015424165,0.002999143,0,0,0
5C_E_1,0.009485095,0.066395664,0.498193315,0.005420054,0.011743451,0.317073171,0.01897019,0,0.023938573,0,0.004968383,0.0266486,0.004516712,0,0
5C_E_2,0.004127041,0.040014355,0.699623183,0.002332675,0.01309887,0.17154136,0.015252108,0,0.020814642,0.00053831,0.005921407,0.017405347,0.001256056,0,0
5C_E_3,0.004713424,0.023944193,0.607277526,0.002262443,0.017911011,0.273755656,0.021304676,0,0.024509804,0,0.006975867,0.012820513,0.000942685,0,0
5C_E_4,0.003659866,0.01222551,0.743731506,0,0.013393552,0.174427659,0.025852671,0,0.011758293,0,0.004360691,0.006696776,0.000545086,0,0
5C_E_5,0.021791124,0.034414031,0.393967579,0.006245017,0.021791124,0.397023651,0.035078395,0,0.030826468,0,0.012357162,0.025910178,0.001860218,0,0
5C_E_6,0.003203549,0.022178413,0.745687531,0,0.011335633,0.125924101,0.073681617,0,0.009857072,0,0.001478561,0.002710695,0,0,0
5C_E_7,0.035945073,0.033925687,0.262924071,0,0.02180937,0.423263328,0.044022617,0,0.047657512,0,0.018982229,0.051292407,0,0,0
5G_A_1,0.292067081,0,0,0.702280008,0,0,0,0.000565291,0,0,0,0,0,0,0
5G_A_2,0.452959364,0.001987633,0.000883392,0.532243816,0,0,0,0,0,0,0,0,0,0,0
5G_A_3,0.71231319,0,0,0.283625731,0,0,0,0,0,0,0,0,0,0,0
5G_A_4,0.684200709,0,0,0.302368961,0,0,0,0,0,0,0,0,0,0,0
5G_A_5,0.68415978,0,0,0.308953168,0,0,0,0,0,0,0,0,0,0,0
5G_A_6,0.666428145,0,0,0.317233154,0,0,0,0.000715564,0,0,0,0,0,0,0
5G_A_7,0.716611018,0,0.002921536,0.274207012,0,0,0,0,0,0,0,0,0,0,0
5G_B_1,0.329109406,0,0,0.666607175,0,0,0,0,0,0,0,0,0,0,0
5G_B_2,0.551278671,0,0,0.441866596,0,0,0,0.001054574,0,0,0,0,0,0,0
5G_B_3,0.720513687,0,0,0.272727273,0,0,0,0,0,0,0,0,0,0,0
5G_B_4,0.68694422,0,0,0.307396928,0,0,0,0,0,0,0,0,0,0,0
5G_B_5,0.68121763,0,0.000951274,0.308424057,0,0,0,0,0,0,0,0,0,0,0
5G_B_6,0.724169461,0,0,0.265315453,0,0,0,0.003657422,0,0,0,0,0,0,0
5G_B_7,0.674247809,0,0,0.310116086,0,0.000710732,0,0,0,0,0,0,0,0,0
5G_C_1,0.347914135,0.0018226,0.003037667,0.64418793,0,0,0,0,0,0,0,0,0,0,0
5G_C_2,0.532467532,0,0,0.462121212,0,0,0,0,0,0,0,0,0,0,0
5G_C_3,0.744021952,0,0,0.252058016,0,0,0,0.001176009,0,0,0,0,0,0,0
5G_C_4,0.729581041,0,0,0.263013119,0,0,0,0.001057977,0,0,0,0,0,0,0
5G_C_5,0.729799216,0,0.001591577,0.262977473,0,0,0,0,0,0,0,0,0,0,0
5G_C_6,0.768178048,0.000691181,0,0.212883605,0,0,0,0.001658833,0,0,0,0,0,0,0
5G_C_7,0.694550063,0,0,0.297338403,0,0,0,0,0,0,0,0,0,0,0
5G_D_1,0.3203125,0,0.001478041,0.67504223,0,0,0,0,0,0,0,0,0,0,0
5G_D_2,0.455498866,0.003401361,0,0.530612245,0,0,0,0.001133787,0,0,0,0,0,0,0
5G_D_3,0.781108208,0,0,0.2160044,0,0,0,0,0,0,0,0,0,0,0
5G_D_4,0.732351447,0,0,0.26206196,0,0,0,0,0,0,0,0,0,0,0
5G_D_5,0.728481807,0,0,0.265495609,0,0,0,0,0,0,0,0,0,0,0
5G_D_6,0.723159194,0,0,0.271081859,0,0,0,0,0,0,0,0,0,0,0
5G_D_7,0.708677686,0,0.00137741,0.279614325,0,0,0,0,0,0,0,0,0,0,0
5G_E_1,0.245287203,0,0,0.745398093,0,0,0,0.000443557,0.000443557,0,0,0,0,0,0
5G_E_2,0.568215706,0,0,0.425074553,0,0.000497018,0,0,0,0,0,0,0,0,0
5G_E_3,0.728061898,0,0,0.264955652,0,0,0,0.001132289,0,0,0,0,0,0,0
5G_E_4,0.697413206,0,0,0.294417971,0,0,0,0,0,0,0,0,0,0,0
5G_E_5,0.707563411,0,0,0.282681051,0,0,0,0.000918168,0,0,0,0,0,0,0
5G_E_6,0.760393873,0,0.001094092,0.230488694,0,0,0,0,0,0,0,0,0,0,0
5G_E_7,0.670355731,0,0.001581028,0.310671937,0,0,0,0.002371542,0,0,0,0,0,0,0
7C_A_1,0.003549973,0.020753687,0.57755325,0,0,0.273347897,0.066903332,0,0.015019115,0,0.009557619,0.016657564,0,0,0
7C_A_2,0,0.030973451,0.537168142,0,0,0.265486726,0.084513274,0,0.025663717,0,0.012389381,0.021681416,0,0,0
7C_B_1,0.003330003,0.01964702,0.418914419,0,0,0.436896437,0.035298035,0,0.020979021,0,0.012987013,0.038295038,0,0,0
7C_C_1,0.005015432,0.03279321,0.436728395,0,0.005787037,0.309027778,0.080246914,0,0.023148148,0,0.019675926,0.06095679,0.000771605,0,0
7C_D_1,0.003197442,0.037969624,0.335731415,0,0,0.477218225,0.032773781,0,0.018385292,0,0.014388489,0.050359712,0,0,0
7C_E_1,0,0.015807963,0.457259953,0,0,0.369437939,0.056206089,0,0.013466042,0,0.014051522,0.049765808,0,0,0
7G_A_1,0.264428981,0,0,0.72984036,0,0,0,0,0,0,0,0,0,0,0
7G_A_2,0.74127907,0.002180233,0,0.246729651,0,0.001090116,0,0.001453488,0,0,0,0,0,0,0
7G_B_1,0.170339488,0,0,0.820428827,0,0,0,0,0,0,0,0,0,0,0
7G_B_2,0.5625,0,0,0.427526596,0,0,0,0,0,0,0,0,0,0,0
7G_C_2,0.718337218,0,0,0.279331779,0,0,0,0,0,0,0,0,0,0,0
7G_D_2,0.461770624,0,0,0.520791415,0,0,0,0,0,0,0,0,0,0,0
7G_E_1,0.527842227,0,0,0.466744006,0,0,0,0,0,0,0,0,0,0,0
7G_E_2,0.744582043,0,0,0.251160991,0,0,0,0,0,0,0,0,0,0,0
2C_A_4,0.015283914,0.286434299,0.60108002,0.015218459,0.003665521,0.000720013,0,0,0.023433153,0.004647357,0.012011127,0.00490918,0,0.000654557,0
2C_A_6,0.004685071,0.160721039,0.567313753,0.071935796,0.051619816,0.000336149,0.029686121,0,0.035589731,0.00117652,0.016996512,0.036640195,0,0.003172402,0.004748099
2C_A_7,0.008712416,0.169615638,0.48690896,0.137859406,0.049928268,0.00159902,8.97E-05,0,0.033190866,0.000567876,0.017873154,0.042889593,0,0.010625262,0.018261701
2C_B_4,0.010959927,0.273884523,0.651295707,0.010618952,0.003637072,0,0,0,0.018266545,0.002841463,0.007144249,0.001477561,0,0.000617003,0
2C_B_6,0.013694214,0.163685833,0.52917435,0.128947402,0.052971593,0.000180526,0,0,0.02309448,0.000902632,0.016763162,0.023004217,0,0.010625266,0.015744478
2C_C_4,0.014832029,0.264276682,0.64654318,0.012166365,0.001281569,0,0,0,0.021513277,0.001144869,0.011517036,0.005621817,0,0.003964321,0
2C_C_6,0.013002073,0.163562307,0.547348128,0.107886765,0.048674426,0.000188436,0,0,0.033396628,0.000753743,0.017959385,0.026641928,0,0.009233356,0.012886112
2C_D_4,0.024953679,0.299324607,0.621346602,0.011281454,0.001688482,8.97E-05,0,0,0.014329687,0.00295858,0.00502062,0,0,0.000403443,0
2C_D_6,0.024014359,0.233660333,0.49082441,0.097744012,0.049916445,0.000232098,0,0,0.04374265,0.001145015,0.016509872,0,0,0.006560624,0.010707433
2C_D_7,0.025564584,0.237427174,0.420743945,0.160850334,0.050973286,0.000818378,9.74E-05,0,0.047310068,0.001286023,0.013347363,0,0,0.007560258,0.014224197
2C_E_3,0.009615267,0.306175491,0.609825144,0.016180006,0.005747197,0.000451478,0.000158628,0,0.013556551,0.002184179,0.014593731,0.00276988,0,0.001110393,8.54E-05
2C_E_6,0.003685797,0.157937147,0.638836661,0.067597815,0.05267556,0.0001343,0,0,0.034291342,0.000537201,0.010594801,0.019264631,0,0.002536783,0.002999373
2C_E_7,0.004080459,0.1128867,0.688554942,0.06879258,0.046466898,0,0,0,0.033650303,0,0.01206162,0.017022883,0,0.003199655,0.005464579
2G_A_3,0.794219398,0.004879192,0,0.169641503,0.001116425,0.000165396,0.007663363,0,0,0.007249873,0,0.00391438,0,0.002990917,0.000303227
2G_A_4,0.683912931,0.008536901,0.000461954,0.26351676,0.00208803,0,0.008961898,0,0.000221738,0.010347759,0.000221738,0.004508666,0,0.005358661,0.000388041
2G_A_6,0.735760252,0.006595099,0.000697279,0.219003762,0.001510772,0.000276006,0.009849068,0,0.00013074,0.006115719,0,0.004038408,0,0.006043086,0.000406746
2G_A_7,0.782415689,0.004526417,0.001145238,0.163267309,0.00231229,0,0.017505781,0,0.000229048,0.00862746,0.000119977,0.004297369,0,0.004929977,0.00029449
2G_B_3,0.774258228,0.010632911,0.000283544,0.188253165,0.001802532,0,0.007027848,0,0,0.007898734,0.000202532,0.000810127,0,0.001640506,0.000303797
2G_B_4,0.714386776,0.01360063,0.000777179,0.219383637,0.003048932,0.000159421,0.010790829,0,0.000119566,0.014965675,0.000488228,0.001923019,0,0.00426452,0.00059783
2G_B_6,0.733072329,0.009760586,0.001461382,0.223537265,0.002219135,0.000613419,0.009850795,0,5.41E-05,0.00846158,0.00010825,0.000559294,0,0.002056759,0.000198459
2G_B_7,0.710851741,0.007707148,0.0004823,0.235140349,0.002556188,7.72E-05,0.013128195,0,0.000221858,0.012462622,0.000202566,0.001022475,0,0.003482203,0.000520884
2G_C_2,0.73080273,0.003652909,0.000571986,0.235242119,0.001299968,0.000259994,0.007500812,0,0,0.004965876,0,0.007136822,0,0.00241794,0.000181995
2G_C_3,0.785892018,0.002738391,0.000329134,0.185736667,0.00113222,0,0.007596403,0,6.58E-05,0.003317667,0,0.005726924,0,0.002198612,0
2G_C_4,0.732866075,0.003086297,0.000796464,0.228425789,0.001115049,0,0.010891641,0,0.000199116,0.005236749,0,0.007466847,0,0.00312612,0.000139381
2G_C_6,0.70008732,0.007235078,0.000405414,0.233175326,0.001309799,0.000374228,0.019335121,0,0.000280671,0.00916859,0,0.011195659,0,0.006330693,0
2G_C_7,0.77211645,0.002216993,0.003053227,0.179479201,0.001419653,0.000836234,0.015791214,0,0.000369499,0.006009218,0.000155578,0.007526108,0,0.001828047,0
2G_D_2,0.713110218,0.000409018,0.000264658,0.257344273,0.000601497,0,0.011548733,0,4.81E-05,0.00685706,0.000336838,0.000216539,0,0.00175637,0
2G_D_3,0.625362721,0.000262394,0.000401309,0.347703278,0.001111317,0,0.009646848,0,7.72E-05,0.005973328,0.000138915,7.72E-05,0,0.001605236,0
2G_D_4,0.606712545,0.000205766,0.000285786,0.362113903,0.001017399,0,0.008893665,0,8.00E-05,0.008173484,6.86E-05,0.000148609,0,0.001486088,0
2G_D_5,0.640752096,0.009807909,0.02161807,0.289043924,0.00511513,0.000109498,0.013061569,0,0.001173195,0.005506194,0.000484921,0.000437993,0,0.001611188,0.000156426
2G_D_6,0.718562281,0.001724787,0.000674055,0.239963522,0.001447235,0.000515454,0.013738824,0,0,0.008742888,0.000118951,0.000475803,0,0.004738209,0.000277552
2G_D_7,0.624678512,0.000449838,0.000312931,0.333281178,0.002112284,8.80E-05,0.014795764,0,0.000185803,0.008840298,0.000117349,0.00010757,0,0.002073167,0
2G_E_2,0.709289835,0.000649824,0.000278496,0.2584444,0.002413633,0.000172402,0.008765997,0,0,0.005967774,0,6.63E-05,0,0.002506465,7.96E-05
2G_E_4,0.665629652,0.002425276,0.001204275,0.263552277,0.00511817,0.000334521,0.023349558,0,0.000150534,0.012778698,0.000117082,0.00016726,0,0.004415676,0.000200713
2G_E_5,0.676334573,0.01013706,0.02330686,0.250846151,0.004909353,0.000536175,0.009734928,0,0.000904795,0.00784156,0.000619952,0.000854529,0,0.003384605,0
2G_E_6,0.637823372,0.001419187,0.000628497,0.312505069,0.00237207,0.000243289,0.014110778,0,0.000243289,0.010481713,0.000121645,0.000263563,0,0.004358933,0.000121645
