"","Pseudomonas.1","Asticcacaulis","Cellvibrio","Pseudomonas.2","Cohnella","Lacunisphaera","Taibaiella","Achromobacter","Leadbetterella","Bordetella","Shinella","Stenotrophomonas","Xylophilus","Methylophilus","Pleomorphomonas","Nubsella","Devosia","Bosea","Parapedobacter","Youhaiella","Dysgonomonas","Rhodopseudomonas","Azonexus","Pigmentiphaga","Pseudaminobacter","Kaistia","Neorhizobium","Dokdonella","Sphingopyxis","Afipia","Cellulomonas","Herbaspirillum","Mesorhizobium","Phenylobacterium","Microbacterium","Kurthia","Flavobacterium","Candidatus Megaira","Pusillimonas","Saccharofermentans","Nocardioides","Megasphaera","Sporosarcina","Terrisporobacter","Anaerovorax","Terrimonas","Ellin6055","Fibrobacter","Christensenellaceae R-7 group","NK4A214 group","Chishuiella","Acinetobacter","Lachnospiraceae XPB1014 group","Lachnospiraceae UCG-008","Succiniclasticum","Rikenellaceae RC9 gut group","Enterococcus","Succinivibrionaceae UCG-001","Latilactobacillus","Rhodococcus"
"5C_A_7",0.149027052681538,0.0208827717133365,0.263407688656858,0.0635975320360702,0.0194589463692454,0.367821547223541,0.0284765068818225,0.00142382534409112,0.022781205505458,0,0.0094921689606075,0,0.0374940673943996,0,0.00427147603227337,0,0,0,0,0.003796867584243,0,0,0,0,0,0.0018984337921215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5C_B_2",0.00209533787323206,0.0405971712938711,0.614981665793609,0,0.0140125720272394,0.262964903090623,0.0251440544787847,0.000654793085385018,0.0193818753273965,0,0.00510738606600314,0,0.0123101100052383,0.000392875851231011,0,0,0,0,0,0,0.000261917234154007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5C_B_3",0.00307915232747691,0.0445571454446658,0.535591378373483,0.00271689911247962,0.0211918130773411,0.317152689730121,0.0211918130773411,0,0.0175692809273682,0,0.00833182394493751,0,0.0175692809273682,0.00163013946748777,0,0,0.000543379822495925,0.000724506429994566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5C_B_4",0.0031574199368516,0.016914749661705,0.746729815065404,0,0.0121786197564276,0.171402796571944,0.0322507893549842,0,0.0081190798376184,0,0.0027063599458728,0,0.0031574199368516,0.0006765899864682,0,0,0,0,0,0.0009021199819576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5C_B_5",0.00578282287427715,0.0304133647461983,0.598200899550225,0,0.0199186121225102,0.275005354465624,0.0246305418719212,0,0.0177768258727779,0,0.00406939387449133,0,0.0134932533733133,0.00128507174983937,0,0,0,0.000642535874919683,0,0.00257014349967873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5C_B_6",0,0.0274291027429103,0.689446768944677,0,0.0120874012087401,0.190609019060902,0.0715946071594607,0,0.00604370060437006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5C_B_7",0.0243013365735115,0.0328068043742406,0.2636695018226,0,0.0530579181855002,0.424463345484002,0.0571081409477521,0,0.0324017820980154,0,0.02106115836371,0,0.0814094775212637,0,0.00729040097205346,0,0,0,0,0.00243013365735115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5C_C_1",0.0130246020260492,0.278726483357453,0.576266280752533,0.00318379160636758,0.00636758321273517,0.065123010130246,0.0101302460202605,0,0.0208393632416787,0,0.00665701881331404,0,0.0144717800289436,0,0,0,0,0,0,0.00347322720694645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5C_C_2",0.00571605128997374,0.145218600339873,0.673258149235285,0.00200834234512591,0.00679746639888769,0.0974818476749575,0.0142128842885833,0.00108141510891395,0.0355322107214584,0,0.00463463618105979,0,0.00772439363509964,0,0,0,0,0.000463463618105979,0,0.00247180596323189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5C_C_3",0.00823252688172043,0.119959677419355,0.616095430107527,0.00168010752688172,0.0141129032258065,0.158434139784946,0.0159610215053763,0,0.035114247311828,0,0.00621639784946237,0,0.0162970430107527,0.0011760752688172,0,0,0,0,0,0.00134408602150538,0.000672043010752688,0,0,0,0,0.000504032258064516,0,0,0,0,0,0,0,0.000336021505376344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
